Departamento;Dep;Municipio;Depmun;Superficie;Poblacion;Irural;Region
Antioquia;5;Medellin;5001;374,8306248;2483545;5;Región Eje Cafetero 
Antioquia;5;Abejorral;5002;507,1341142;20258;45;Región Eje Cafetero 
Antioquia;5;Abriaqui;5004;296,9559801;2710;58;Región Eje Cafetero 
Antioquia;5;Alejandria;5021;128,9321532;4669;48;Región Eje Cafetero 
Antioquia;5;Amaga;5030;84,13247691;30777;28;Región Eje Cafetero 
Antioquia;5;Amalfi;5031;1209,126871;26552;54;Región Eje Cafetero 
Antioquia;5;Andes;5034;402,5025624;43713;38;Región Eje Cafetero 
Antioquia;5;Angelopolis;5036;81,87630162;5790;37;Región Eje Cafetero 
Antioquia;5;Angostura;5038;338,6664821;11462;47;Región Eje Cafetero 
Antioquia;5;Anori;5040;1413,773904;18737;58;Región Eje Cafetero 
Antioquia;5;Santa Fe De Antioquia;5042;525,6013746;26598;45;Región Eje Cafetero 
Antioquia;5;Anza;5044;255,9233139;7085;48;Región Eje Cafetero 
Antioquia;5;Apartado;5045;535,1723772;124647;34;Región Eje Cafetero 
Antioquia;5;Arboletes;5051;754,251902;29942;48;Región Eje Cafetero 
Antioquia;5;Argelia;5055;245,3417823;7577;46;Región Eje Cafetero 
Antioquia;5;Armenia;5059;110,434975;5085;43;Región Eje Cafetero 
Antioquia;5;Barbosa;5079;205,6661682;53242;32;Región Eje Cafetero 
Antioquia;5;Belmira;5086;296,1531671;6054;51;Región Eje Cafetero 
Antioquia;5;Bello;5088;147,758418;538527;12;Región Eje Cafetero 
Antioquia;5;Betania;5091;180,5259868;10274;42;Región Eje Cafetero 
Antioquia;5;Betulia;5093;262,3675026;15736;42;Región Eje Cafetero 
Antioquia;5;Ciudad Bolivar;5101;260,4461079;26160;38;Región Eje Cafetero 
Antioquia;5;Briceño;5107;376,3467564;8065;52;Región Eje Cafetero 
Antioquia;5;Buritica;5113;355,2102558;9502;52;Región Eje Cafetero 
Antioquia;5;Caceres;5120;1873,802834;29716;56;Región Eje Cafetero 
Antioquia;5;Caicedo;5125;200,1298832;8420;46;Región Eje Cafetero 
Antioquia;5;Caldas;5129;132,7559357;81658;24;Región Eje Cafetero 
Antioquia;5;Campamento;5134;206,3433464;9202;46;Región Eje Cafetero 
Antioquia;5;Cañasgordas;5138;364,8312301;15490;46;Región Eje Cafetero 
Antioquia;5;Caracoli;5142;262,7987754;4537;53;Región Eje Cafetero 
Antioquia;5;Caramanta;5145;92,05778314;4670;42;Región Eje Cafetero 
Antioquia;5;Carepa;5147;387,2706422;49659;40;Región Eje Cafetero 
Antioquia;5;El Carmen De Viboral;5148;423,6451916;61122;38;Región Eje Cafetero 
Antioquia;5;Carolina;5150;149,580818;3954;51;Región Eje Cafetero 
Antioquia;5;Caucasia;5154;1429,121976;93044;45;Región Eje Cafetero 
Antioquia;5;Chigorodo;5172;721,6826453;58684;43;Región Eje Cafetero 
Antioquia;5;Cisneros;5190;46,93473179;9844;34;Región Eje Cafetero 
Antioquia;5;Cocorna;5197;241,7647034;15042;41;Región Eje Cafetero 
Antioquia;5;Concepcion;5206;202,0544856;4760;49;Región Eje Cafetero 
Antioquia;5;Concordia;5209;247,8803905;21504;39;Región Eje Cafetero 
Antioquia;5;Copacabana;5212;67,76071731;80000;20;Región Eje Cafetero 
Antioquia;5;Dabeiba;5234;1957,262708;23255;57;Región Eje Cafetero 
Antioquia;5;Donmatias;5237;203,3323106;19332;39;Región Eje Cafetero 
Antioquia;5;Ebejico;5240;237,7793784;12108;42;Región Eje Cafetero 
Antioquia;5;El Bagre;5250;1560,248872;52925;51;Región Eje Cafetero 
Antioquia;5;Entrerrios;5264;214,1959458;11465;46;Región Eje Cafetero 
Antioquia;5;Envigado;5266;77,99670323;236114;8;Región Eje Cafetero 
Antioquia;5;Fredonia;5282;258,092599;24553;38;Región Eje Cafetero 
Antioquia;5;Frontino;5284;1384,131365;20657;55;Región Eje Cafetero 
Antioquia;5;Giraldo;5306;93,49444129;5652;48;Región Eje Cafetero 
Antioquia;5;Girardota;5308;82,85600095;53162;25;Región Eje Cafetero 
Antioquia;5;Gomez Plata;5310;332,2046287;9828;48;Región Eje Cafetero 
Antioquia;5;Granada;5313;190,2251211;9870;43;Región Eje Cafetero 
Antioquia;5;Guadalupe;5315;118,2097481;6607;45;Región Eje Cafetero 
Antioquia;5;Guarne;5318;151,8116382;56774;30;Región Eje Cafetero 
Antioquia;5;Guatape;5321;83,32688921;8548;41;Región Eje Cafetero 
Antioquia;5;Heliconia;5347;114,8488285;5400;41;Región Eje Cafetero 
Antioquia;5;Hispania;5353;57,52160128;5530;39;Región Eje Cafetero 
